time,numErr,TrackID,Trigger,X(m),Y(m),Vx(km/h),Vy(km/h),Lane,objType,L(m)
Fri Mar 15 19:09:51 2024,0,34,[Range],69.900,-0.600,-42.120,-2.520,1,b4w,22.000
Fri Mar 15 19:09:53 2024,0,46,[Range],69.100,2.700,-70.920,-0.360,0,b4w,6.000
Fri Mar 15 19:10:30 2024,0,47,[Range],69.500,2.000,-66.960,-1.440,0,b4w,23.000
Fri Mar 15 19:10:49 2024,0,49,[Range],69.400,2.700,-81.720,-0.720,0,b4w,23.000
Fri Mar 15 19:10:54 2024,0,56,[Range],68.900,3.000,-77.760,-1.080,0,b4w,28.000
Fri Mar 15 19:10:54 2024,0,48,[Range],69.800,1.700,-79.920,0.000,0,b4w,4.000
Fri Mar 15 19:10:54 2024,0,50,[Range],68.900,3.200,-80.280,0.000,0,b4w,1.000
Fri Mar 15 19:10:56 2024,0,51,[Range],69.800,-2.300,-51.840,0.000,1,b4w,0.000
Fri Mar 15 19:10:59 2024,0,57,[Range],69.700,2.300,-78.480,0.000,0,b4w,6.000
Fri Mar 15 19:12:37 2024,0,63,[Range],69.400,-1.800,-49.680,0.000,1,b4w,1.000
Fri Mar 15 19:12:45 2024,0,52,[Range],69.800,-0.900,-29.520,-1.080,1,b4w,48.000
Fri Mar 15 19:12:52 2024,0,67,[Range],69.800,2.300,-83.160,0.000,0,b4w,4.000
Fri Mar 15 19:13:08 2024,0,70,[Range],69.300,-0.100,-59.040,0.000,1,b4w,1.000
Fri Mar 15 19:13:12 2024,0,66,[Range],69.600,-2.800,-28.080,-0.360,1,b4w,40.000
Fri Mar 15 19:13:38 2024,0,60,[Range],69.700,-3.500,-29.520,-0.360,1,b4w,45.000
Fri Mar 15 19:13:40 2024,0,58,[Range],69.100,-0.800,-72.360,0.000,1,b4w,0.000
Fri Mar 15 19:13:45 2024,0,65,[Range],69.900,2.600,-63.360,-1.800,0,b4w,21.000
Fri Mar 15 19:13:51 2024,0,64,[Range],69.900,2.500,-69.840,0.000,0,b4w,4.000
Fri Mar 15 19:14:15 2024,0,61,[Range],69.600,0.100,-77.400,0.000,1,b4w,8.000
Fri Mar 15 19:14:27 2024,0,69,[Range],69.600,2.300,-58.320,-1.800,0,b4w,20.000
Fri Mar 15 19:15:49 2024,0,62,[Range],69.700,0.000,-47.520,0.000,1,b4w,2.000
Fri Mar 15 19:16:20 2024,0,76,[Range],69.800,-0.700,-33.840,-0.360,1,b4w,16.000
Fri Mar 15 19:16:28 2024,0,75,[Range],69.500,-0.400,-41.400,-3.600,1,b4w,23.000
Fri Mar 15 19:17:02 2024,0,79,[Range],69.900,2.200,-69.480,-0.360,0,b4w,22.000
Fri Mar 15 19:17:12 2024,0,77,[Range],69.500,-4.200,-34.920,0.000,1,b4w,0.000
Fri Mar 15 19:17:23 2024,0,73,[Range],69.900,-0.800,-28.800,-1.080,1,b4w,20.000
Fri Mar 15 19:17:29 2024,0,78,[Range],70.200,-5.000,38.160,-0.360,0,b4w,0.000
Fri Mar 15 19:17:33 2024,0,85,[Range],69.800,2.600,-73.080,0.000,0,b4w,23.000
Fri Mar 15 19:17:36 2024,0,81,[Range],69.900,-1.300,-60.120,0.000,1,b4w,1.000
Fri Mar 15 19:18:12 2024,0,82,[Range],68.900,2.800,-82.080,-0.360,0,b4w,13.000
Fri Mar 15 19:18:14 2024,0,91,[Range],69.100,0.700,-75.240,0.000,0,b4w,8.000
Fri Mar 15 19:18:19 2024,0,87,[Range],69.700,-1.200,-32.760,-1.080,1,b4w,33.000
Fri Mar 15 19:18:47 2024,0,84,[Range],69.000,3.200,-68.040,-1.080,0,b4w,59.000
Fri Mar 15 19:19:10 2024,0,99,[Range],69.700,0.000,-54.720,-1.440,1,b4w,43.000
Fri Mar 15 19:19:10 2024,0,101,[Range],69.500,0.200,-55.080,-0.360,1,b4w,3.000
Fri Mar 15 19:19:41 2024,0,94,[Range],69.700,-3.000,-36.000,0.000,1,b4w,4.000
Fri Mar 15 19:20:02 2024,0,86,[Range],69.500,-2.400,-54.360,0.000,1,b4w,1.000
Fri Mar 15 19:20:08 2024,0,106,[Range],69.100,0.200,-68.040,-0.360,1,b4w,36.000
Fri Mar 15 19:20:14 2024,0,103,[Range],69.900,-0.400,-40.320,-0.720,1,b4w,9.000
Fri Mar 15 19:20:23 2024,0,105,[Range],69.900,-1.000,-42.120,-2.160,1,b4w,87.000
Fri Mar 15 19:20:37 2024,0,112,[Range],69.900,-2.200,-39.240,0.000,1,b4w,1.000
Fri Mar 15 19:21:11 2024,0,114,[Range],69.700,-0.800,-36.360,-1.440,1,b4w,23.000
Fri Mar 15 19:21:13 2024,0,120,[Range],69.900,1.100,-67.680,0.000,0,b4w,2.000
Fri Mar 15 19:21:44 2024,0,89,[Range],69.400,0.200,-68.400,-0.720,1,b4w,20.000
Fri Mar 15 19:21:46 2024,0,116,[Range],69.400,-1.500,-47.880,0.000,1,b4w,1.000
Fri Mar 15 19:22:20 2024,0,110,[Range],69.300,0.000,-71.280,-0.360,1,b4w,49.000
Fri Mar 15 19:22:33 2024,0,118,[Range],69.500,2.100,-54.720,-2.520,0,b4w,22.000
Fri Mar 15 19:22:34 2024,0,109,[Range],69.400,1.000,-56.160,0.000,0,b4w,1.000
Fri Mar 15 19:22:44 2024,0,111,[Range],69.800,2.300,-75.240,0.000,0,b4w,3.000
Fri Mar 15 19:22:52 2024,0,121,[Range],69.800,-2.800,-27.360,0.000,1,b4w,0.000
Fri Mar 15 19:22:55 2024,0,90,[Range],69.800,2.400,-66.600,-1.080,0,b4w,29.000
Fri Mar 15 19:23:32 2024,0,115,[Range],69.800,-0.500,-42.120,-1.080,1,b4w,24.000
Fri Mar 15 19:24:16 2024,0,125,[Range],69.500,-0.200,-38.880,-0.720,1,b4w,13.000
Fri Mar 15 19:24:27 2024,0,123,[Speed],11.400,0.400,-81.360,-1.800,1,b4w,23.000
Fri Mar 15 19:24:35 2024,0,119,[Range],69.700,3.100,-70.200,-0.360,0,b4w,49.000
Fri Mar 15 19:24:37 2024,0,100,[Range],69.600,-0.700,-40.320,-0.720,1,b4w,23.000
Fri Mar 15 19:25:13 2024,0,97,[Range],69.900,-4.400,-24.480,0.000,1,b4w,0.000
Fri Mar 15 19:26:21 2024,0,129,[Range],69.900,1.200,-82.440,0.000,0,b4w,6.000
Fri Mar 15 19:26:22 2024,0,129,[Speed],30.400,0.400,-80.280,-1.080,1,b4w,7.000
Fri Mar 15 19:28:46 2024,0,132,[Range],69.800,-0.200,-56.880,-1.080,1,b4w,21.000
Fri Mar 15 19:29:00 2024,0,126,[Range],69.300,2.600,-48.960,-2.880,0,b4w,24.000
Fri Mar 15 19:29:01 2024,0,128,[Range],69.400,-1.100,-49.320,-1.080,1,b4w,4.000
Fri Mar 15 19:29:06 2024,0,135,[Range],69.800,2.100,-42.840,-3.240,0,b4w,52.000
Fri Mar 15 19:29:07 2024,0,139,[Range],69.700,2.600,-42.840,-1.800,0,b4w,17.000
Fri Mar 15 19:29:08 2024,0,138,[Range],69.300,1.900,-43.560,0.000,0,b4w,2.000
Fri Mar 15 19:29:14 2024,0,133,[Range],69.000,1.800,-66.600,-0.720,0,b4w,10.000
Fri Mar 15 19:29:40 2024,0,142,[Range],69.300,2.400,-68.400,0.000,0,b4w,3.000
Fri Mar 15 19:30:07 2024,0,137,[Range],69.800,-0.500,-56.160,-0.720,1,b4w,22.000
Fri Mar 15 19:30:25 2024,0,147,[Range],69.500,0.000,-71.640,0.000,1,b4w,12.000
Fri Mar 15 19:30:30 2024,0,143,[Range],69.800,1.900,-55.080,-3.240,0,b4w,20.000
Fri Mar 15 19:30:36 2024,0,145,[Range],69.900,-0.500,-54.000,-2.160,1,b4w,38.000
Fri Mar 15 19:30:45 2024,0,144,[Range],69.100,0.000,-63.360,-0.360,1,b4w,22.000
Fri Mar 15 19:30:46 2024,0,148,[Range],69.600,3.100,-56.520,-0.720,0,b4w,24.000
Fri Mar 15 19:31:00 2024,0,151,[Range],69.500,3.000,-78.840,-0.360,0,b4w,23.000
Fri Mar 15 19:31:12 2024,0,146,[Range],69.300,2.500,-70.920,-1.800,0,b4w,69.000
Fri Mar 15 19:31:44 2024,0,149,[Range],69.600,-0.500,-75.600,0.000,1,b4w,7.000
Fri Mar 15 19:31:51 2024,0,153,[Range],69.400,-1.400,-41.760,0.000,1,b4w,1.000
Fri Mar 15 19:31:56 2024,0,150,[Range],69.500,2.600,-61.560,-1.800,0,b4w,67.000
Fri Mar 15 19:31:56 2024,0,158,[Range],69.300,0.600,-63.360,0.000,0,b4w,0.000
Fri Mar 15 19:32:33 2024,0,162,[Range],69.500,2.600,-61.200,-3.600,0,b4w,27.000
Fri Mar 15 19:34:02 2024,0,176,[Range],69.800,3.100,-82.440,-0.360,0,b4w,28.000
Fri Mar 15 19:34:29 2024,0,156,[Range],69.500,0.000,-55.080,-0.360,1,b4w,22.000
Fri Mar 15 19:34:50 2024,0,163,[Range],69.400,2.200,-66.240,-2.880,0,b4w,47.000
